file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_MV0392_0124_740366_to_741709,རྩིག་ཟུར་དེ་སྒོར་སྒོར།  ,rtsig zur de sgor sgor/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0392_0124_740366_to_741709.wav,STT_MV,3,24,1.343,wav16k/STT_MV0392_0124_740366_to_741709.wav,རྩིག་ཟུར་དེ་སྒོར་སྐོར།
STT_MV0392_0115_685166_to_686906,ཕྱོགས་མཚུངས་རྒྱ་མཚོའི་ཕོ་བྲང་ནང་གི་ ,phyogs mtshungs rgya mtsho'i pho brang nang gi _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0392_0115_685166_to_686906.wav,STT_MV,3,36,1.74,wav16k/STT_MV0392_0115_685166_to_686906.wav,ཕྱོགས་མཚུངས་རྒྱ་མསོའི་ཕོ་བྲང་ནང་གི་
STT_MV0392_0110_652735_to_657990,གླང་ཆེན་ཆབ་ལ་ཐེད་སོང་། ཐུབ་བསྟན་ལགས་སླེལ་གོག་ཁྱེར་བྱས། ཨོང་རིལ་སྒྲུག་ག་འགྲོ་གི་ཟེར་ཡ་དེ་རེད་བ། ག་རེ།  ,glang chen chab la thed song /_thub bstan lags slel gog khyer byas/_ong ril sgrug ga 'gro gi zer ya de red ba/_ga re/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0392_0110_652735_to_657990.wav,STT_MV,3,102,5.255,wav16k/STT_MV0392_0110_652735_to_657990.wav,གླང་ཆེན་ཆབ་ལ་ཐེད་སོང་། འོ། ཐུབ་བསྟན་ལགས་ཀླད་ཀོག་ཁེར་བྱས་བར་རིས་འཛུལ་ག་འགྲོ་གི་བཟེར་པ་རེད་པ།
STT_MV0392_0128_760591_to_765849,གང་ལྟར་འཇེམ་བཟོ་ཅན་པོ་ཏ་ནང་ཁུལ་ལ་ཚོན་མ་བཏང་བའི་ས་ཆ་གཅིག་རྐྱང་ཡོད་མ་རེད། ལགས།  ,gang ltar 'jem bzo can po ta nang khul la tshon ma btang ba'i sa cha gcig rkyang yod ma red/_lags/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0392_0128_760591_to_765849.wav,STT_MV,3,78,5.258,wav16k/STT_MV0392_0128_760591_to_765849.wav,གང་ལྟར་འཇམ་བཟུ་བཅས་པོ་ཏ་ལ་ནང་ཁུལ་ལ་ཚོན་མ་བཏང་པའི་ས་ཆ་གཅིག་རྐྱང་ཡོད་མ་རེད། ལགས།
STT_MV0392_0129_765849_to_773418,ཚོན་མ་བཏང་པའི་ས་ཆ་སྣ་ཁ་གཅིག་ཡོད་མ་རེད། ཡོད་མ་རེད། ཡོད་མ་རེད། ཏན་ཏན་རེད་པེ། ཡོད་མ་རེད། འོ། ད་འོ་ན་དཀོར་གཉེར་ལགས་ཀི་ཞལ་རས་ལ་ཚོན་ག་རེ་བཏང་འདུག ,tshon ma btang pa'i sa cha sna kha gcig yod ma red/_yod ma red/_yod ma red/_tan tan red pe/_yod ma red/_'o/_da 'o na dkor gnyer lags ki zhal ras la tshon ga re btang 'dug_,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0392_0129_765849_to_773418.wav,STT_MV,3,140,7.569,wav16k/STT_MV0392_0129_765849_to_773418.wav,ཚོན་མ་བཏང་པའི་ས་ཆ་སྣེ་ཁ་གཅིག་ཡེ་ཡོད་མ་རེད། ཡོད་མ་རེད། ཡོད་རེད། ཏན་ཏན་རེད་པེ། ཡོད་མ་རེད་འོ། ད་འོ་ན། འོ། སཔོན་ངན་ལགས་ཀི་ཞལ་རས་ལ་མཚོན་ག་རེ་བཏང་འདུག
STT_MV0392_0160_955820_to_963502,གདུང་རྟེན་དེའི་མཚན་ལ་ག་རེ་ཞུ་གི་ཡོད་རེད། གདུང་རྟེན་དེའི་མཚན་ལ་ཡིན་ན་གསེར་གདུང་འཛམ་གླིང་རྒྱན་གཅིག ཨོ། འཛམ་བུ་གླིང་གི་རྒྱན་ཆ་གཅིག ད་ག་རང་རེད།  ,gdung rten de'i mtshan la ga re zhu gi yod red/_gdung rten de'i mtshan la yin na gser gdung 'dzam gling rgyan gcig_o/_'dzam bu gling gi rgyan cha gcig_da ga rang red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0392_0160_955820_to_963502.wav,STT_MV,3,141,7.682,wav16k/STT_MV0392_0160_955820_to_963502.wav,གདུང་བདན་འདིའི་མཚན་ལ་ག་རེ་ཞུ་ི་ཡོད་རེད། གདུང་བདན་དེའི་མཚན་ལ་ཡིན་ན། གསེར་དུང་འཛམ་གླིང་རྒྱན་གཅིག ཨོ་ འཛམ་བུ་གླིང་གི་རྒྱན་ཆ་གཅིག ད་ག་རང་རེད།
STT_MV0392_0161_963502_to_965055,གནས་ཆེན་པོ་ཏ་ལ་ནི།  ,gnas chen po ta la ni/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0392_0161_963502_to_965055.wav,STT_MV,3,20,1.553,wav16k/STT_MV0392_0161_963502_to_965055.wav,གནས་ཆེན་པོ་ཏ་ལ་ནི།
STT_MV0392_0162_965055_to_970555,གངས་ཅན་ཡུལ་གི་མཛེས་རྒྱན། གནས་ཆེན་པོ་ཏ་ལ་ནི། རིན་ཆེན་ནོར་བུའི་བང་མཛོད། གནས་ཆེན་པོ་ཏ་ལ་ནི།  ,gangs can yul gi mdzes rgyan/_gnas chen po ta la ni/_rin chen nor bu'i bang mdzod/_gnas chen po ta la ni/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0392_0162_965055_to_970555.wav,STT_MV,3,90,5.5,wav16k/STT_MV0392_0162_965055_to_970555.wav,གང་ཅན་ཡུལ་གི་མཛེས་རྒྱལ་ གནས་ཆེན་པོ་ཏ་ལ་ནི། རིན་ཆེན་ནོར་བུའི་བང་མཛོད། གནས་ཆེན་པོ་ཏ་ལ་ནི།
STT_MV0394_0000_0_to_5743,ཝ་ཡེ། ཝཡེ། ཝ་ཡེ ཝ་ཡེ། ཝ་ཡེ། ཝ་ཡེ། ཝ་ཡེ། མི་ཁོ་ངོ་ཚ། ཁྱེད་རང་ཚོ་ག་བ་ཡོད། ཝ་ཡེ། མགྱོགས་སེ་ཤོག་ད། ཡར་ཕེབས་ཤོག་ད། ཝ་ཡེ།  ,wa ye/_waye/_wa ye_wa ye/_wa ye/_wa ye/_wa ye/_mi kho ngo tsha/_khyed rang tsho ga ba yod/_wa ye/_mgyogs se shog da/_yar phebs shog da/_wa ye/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0394_0000_0_to_5743.wav,STT_MV,3,117,5.743,wav16k/STT_MV0394_0000_0_to_5743.wav,ཝ་ཡེ། ཝེ།ཝེ ཝེ། ཝེ། ཝེ། མི་གོ་ང་ཟར། ཁྱེད་རང་ཚི་བ་ཡོ། ཝེ། མགྱོགས་པོ་ད་་ མར་ཕེབས་་དཝེ།
STT_MV0392_0145_860462_to_864261,ཚྭ་བྲེ་གང། ཇ་སྤོར་དོ། མར་ཉག་དོ། ཨོ། ག་རེ་ག་རེ་ག་རེ།  ,tshwa bre gang/_ja spor do/_mar nyag do/_o/_ga re ga re ga re/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0392_0145_860462_to_864261.wav,STT_MV,3,53,3.799,wav16k/STT_MV0392_0145_860462_to_864261.wav,ཚ་བྲེག་ཀ ་བྲད་ཀ ཇ་སྤོ་འདུག མར་ཉར་འདུག ག་རེ་ད ་ལ།
